OBJECTID,LONGITUDE,LATITUDE,city_1,state,zip
6493,-96.755283,32.956074,RICHARDSON,TX,75080
6494,-98.408742,29.380342,SAN ANTONIO,TX,78222
6495,-95.560343,29.783933,HOUSTON,TX,77024
6496,-95.401305,29.723043,HOUSTON,TX,77005
6497,-95.50085,29.741481,HOUSTON,TX,77057
6498,-95.54773,29.780001,HOUSTON,TX,77024
6499,-97.39522,27.777536,CORPUS CHRISTI,TX,78404
6500,-96.699709,32.972971,RICHARDSON,TX,75081
6501,-97.30001,32.676917,FORT WORTH,TX,76119
6502,-96.733062,33.085973,PLANO,TX,75025
6503,-95.653247,29.980151,CYPRESS,TX,77429
6504,-98.573811,29.507791,SAN ANTONIO,TX,78229
6505,-94.00609,30.90863,JASPER,TX,75951
6506,-95.392132,29.938988,HOUSTON,TX,77060
6507,-95.125949,29.543694,WEBSTER,TX,77598
6508,-97.326455,32.726472,FORT WORTH,TX,76104
6509,-96.671276,33.106865,ALLEN,TX,75013
6510,-95.52167,29.79026,HOUSTON,TX,77055
6511,-98.694804,29.476736,SAN ANTONIO,TX,78251
6512,-97.662812,30.312639,AUSTIN,TX,78723
6513,-97.797705,32.754644,WEATHERFORD,TX,76086
6514,-96.748479,32.905181,DALLAS,TX,75243
6515,-96.76188,32.883244,DALLAS,TX,75231
6516,-97.95289,30.334957,AUSTIN,TX,78738
6517,-94.168763,30.116383,BEAUMONT,TX,77708
6518,-95.389926,29.706023,HOUSTON,TX,77030
6519,-96.804605,33.138579,FRISCO,TX,75034
6520,-94.775549,29.31111,GALVESTON,TX,77555
6521,-95.421482,29.706044,HOUSTON,TX,77025
6522,-96.290276,30.582768,COLLEGE STATION,TX,77845
6523,-96.780351,32.790941,DALLAS,TX,75246
6524,-96.790962,33.014333,PLANO,TX,75246
6525,-95.407572,29.770518,HOUSTON,TX,77007
6526,-96.78054,32.790784,DALLAS,TX,75246
6527,-97.943514,29.57237,SEGUIN,TX,78155
6528,-101.451738,32.249277,BIG SPRING,TX,79720
6529,-96.63536,33.161297,MCKINNEY,TX,75069
6530,-96.83884,32.812892,DALLAS,TX,75390
6531,-106.479619,31.77865,EL PASO,TX,79902
6532,-95.389926,29.706023,HOUSTON,TX,77030
6533,-96.847999,32.820417,DALLAS,TX,75390
6534,-97.365829,31.07892,TEMPLE,TX,76508
6535,-102.364782,31.849778,ODESSA,TX,79761
6536,-96.783613,32.876357,DALLAS,TX,75225
6537,-97.688711,30.633073,GEORGETOWN,TX,78626
6538,-96.771678,32.918574,DALLAS,TX,75251
6539,-94.936201,30.710988,LIVINGSTON,TX,77351
6540,-95.401305,29.723043,HOUSTON,TX,77005
6541,-97.229314,32.937572,KELLER,TX,76248
6542,-97.093061,32.935573,GRAPEVINE,TX,76051
6543,-95.460702,30.2055,THE WOODLANDS,TX,77384
6544,-96.745912,32.911498,DALLAS,TX,75243
6545,-95.393708,29.712568,HOUSTON,TX,77030
6546,-97.419829,32.658905,FORT WORTH,TX,76132
6547,-97.669503,26.179313,HARLINGEN,TX,78550
6548,-98.563546,29.533148,SAN ANTONIO,TX,78230
6549,-97.762087,30.375584,AUSTIN,TX,78759
6550,-95.72106,29.949584,CYPRESS,TX,77433
6551,-95.688122,29.563603,SUGAR LAND,TX,77479
6552,-94.730674,32.466845,LONGVIEW,TX,75602
6553,-97.331827,32.754051,FORTWORTH,TX,76102
6554,-97.360167,32.728659,FORT WORTH,TX,76107
6555,-94.977584,29.76859,BAYTOWN,TX,77521
6556,-96.634339,28.62411,PORT LAVACA,TX,77979
6557,-95.409279,29.691247,HOUSTON,TX,77054
6558,-95.507889,29.718073,HOUSTON,TX,77036
6559,-96.671251,32.944808,GARLAND,TX,75044
6560,-97.713294,30.216506,AUSTIN,TX,78741
6561,-96.118568,29.326426,WHARTON,TX,77488
6562,-97.375537,31.074792,TEMPLE,TX,76502
6563,-98.49923,29.51597,SAN ANTONIO,TX,78216
6564,-97.980613,30.457478,LAGO VISTA,TX,78645
6565,-95.45514,29.757142,HOUSTON,TX,77027
6566,-94.654688,31.652103,NACOGDOCHES,TX,75965
6567,-95.404348,30.002593,HOUSTON,TX,77073
6568,-95.437478,30.023066,HOUSTON,TX,77090
6569,-98.489663,29.425014,SAN ANTONIO,TX,78205
6570,-95.047908,29.526555,LEAGUE CITY,TX,77573
6571,-95.447598,29.740211,HOUSTON,TX,77027
6572,-106.563972,31.834384,EL PASO,TX,79912
6573,-101.902325,35.17475,AMARILLO,TX,79109
6574,-94.793673,32.161868,HENDERSON,TX,75652
6575,-97.008759,32.724213,GRAND PRAIRIE,TX,75051
6576,-94.075524,33.462223,TEXARKANA,TX,75503
6577,-97.365829,31.07892,TEMPLE,TX,76508
6578,-94.775549,29.31111,GALVESTON,TX,77555
6579,-95.426456,29.698305,HOUSTON,TX,77025
6580,-96.790962,33.014333,PLANO,TX,75093
6581,-95.401305,29.723043,HOUSTON,TX,77005
6582,-96.83884,32.812892,DALLAS,TX,75390
6583,-98.493295,29.628163,SAN ANTONIO,TX,78258
6584,-95.179493,29.662111,PASADENA,TX,77504
